加载数据中...
testID: 4, pe: 700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 2900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 3900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 4900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 5900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 6900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 7900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 8900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 9900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 10900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 11900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 12900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 13900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14100, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14200, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14300, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14400, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14500, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14600, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14700, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14800, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 14900, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 15000, chip: 14, ce: 1, die: 0, block: 3 加载完成
testID: 4, pe: 1, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 2900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 3900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 4900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 5900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 6900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 7900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 8900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 9900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 10900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 11900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 12900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 13900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14100, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14200, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14300, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14400, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14500, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14600, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14700, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14800, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 14900, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 15000, chip: 14, ce: 2, die: 0, block: 2 加载完成
testID: 4, pe: 1, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 100, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 200, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 300, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 400, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 500, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 600, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 700, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 800, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 900, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1000, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1100, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1200, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1300, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1400, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1500, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1600, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1700, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1800, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 1900, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2000, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2100, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2200, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2300, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2400, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2500, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2600, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2700, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2800, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 2900, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3000, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3100, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3200, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3300, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3400, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3500, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3600, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3700, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3800, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 3900, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4000, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4100, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4200, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4300, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4400, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4500, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4600, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4700, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4800, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 4900, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 5000, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 5100, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 5200, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 5300, chip: 14, ce: 2, die: 0, block: 3 加载完成
testID: 4, pe: 5400, chip: 14, ce: 2, die: 0, block: 3 加载完成
